authors,title,source,type,abstract,times_cited,PY,VL,IS,BP,EP
"Dowling, DK; Maklakov, AA; Friberg, U; Hailer, F",Applying the genetic theories of ageing to the cytoplasm: cytoplasmic genetic covariation for fitness and lifespan,JOURNAL OF EVOLUTIONARY BIOLOGY,Article,"Two genetic models exist to explain the evolution of ageing - mutation accumulation (MA) and antagonistic pleiotropy (AP). Under MA, a reduced intensity of selection with age results in accumulation of late-acting deleterious mutations. Under AP, late-acting deleterious mutations accumulate because they confer beneficial effects early in life. Recent studies suggest that the mitochondrial genome is a major player in ageing. It therefore seems plausible that the MA and AP models will be relevant to genomes within the cytoplasm. This possibility has not been considered previously. We explore whether patterns of covariation between fitness and ageing across 25 cytoplasmic lines, sampled from a population of Drosophila melanogaster, are consistent with the genetic associations predicted under MA or AP. We find negative covariation for fitness and the rate of ageing, and positive covariation for fitness and lifespan. Notably, the direction of these associations is opposite to that typically predicted under AP.",4,2009,22,4,818,827
"Dormann, CF","Competition hierarchy, transitivity and additivity: investigating the effect of fertilisation on plant-plant interactions using three common bryophytes",PLANT ECOLOGY,Article,"The way competition structures plant communities has been investigated intensely over many decades. Dominance structures due to competitive hierarchies, with consequences for species richness, have not received as much experimental attention, since their manipulation is a large logistic undertaking. Here the data from a model system based on bryophytes are presented to investigate competition structure in a three-species system. Grown in monocultures, pairwise and three-species mixtures under no and high nitrogen supply, the three moss species responded strongly to treatment conditions. One of them suffered from nitrogen fertilisation and hence performed better in mixtures, where the dominant species provided physical shelter from apparently toxic nitrogen spray. Accordingly, no linear competitive hierarchy emerged and qualitative transitivity remains restricted to the unfertilised treatments. Faciliation also affected other properties of the competition structure. The reciprocity of competition effects could not be observed. Moreover, the performances in three-species mixtures were not well predictable from the knowledge of monocultures and pairwise mixtures because competitive effects were not additive. This had implications for community stability at equilibrium: all two-species systems were stable, both fertilised and unfertilised, while the three-species system was only stable when fertilised. This stability under fertilisation has probably to do with the facilitative effect of the two dominant species on the third. In this experiment, little support for commonly held ideas was found about the way competition in plant communities is structured. On the other hand, this study shows that moss communities are ideal model systems to test predictions of theoretical models concerning properties and consequences of competition in plant communities.",4,2007,191,2,171,184
"Norris, WR; Hemesath, LM; Debinski, DM; Farrar, DR","Does bird community composition vary along a disturbance gradient in northeast Iowa, USA, forests?",NATURAL AREAS JOURNAL,Article,"Most previous studies of bird-habitat relationships in midwestern U.S. forests have excluded recently disturbed habitats from consideration. We investigated whether the composition of a forest avifauna varies along a disturbance gradient ranging from mature, infrequently disturbed forests to successional. frequently disturbed forests impacted by logging and pasturing practices. We evaluated the degree of disturbance of 44 forests in northeast Iowa, USA (including mature and recently disturbed forests), using an additive. multicriteria index ranging in value from 20 (mature: infrequently disturbed) to 0 (successional: highly disturbed). We conducted forest bird censuses at these study sites using point counts in 1995 and 1996. Then, we used stepwise regression analyses to test for relationships between the abundance (mean number of birds detected per census point at each site) and species richness (mean number of bird species detected per census point at each site) of birds and the index. For these analyses, birds were divided into subsets by migratory status, nest substrate, and conservation categories. The disturbance index predicted the abundance of 2 out of 10 bird groups: permanent residents were more abundant in frequently disturbed forests, and area-sensitive bird species were more abundant in infrequently disturbed forests. The index predicted the species richness of 7 out of 10 bird groups. Short-distance migrants, permanent residents, and ground nesters were more diverse in frequently disturbed, successional forests, while neotropical migrants, tree nesters, species of high management concern, and area-sensitive birds had higher species richness in mature, infrequently disturbed forests. These results suggest that mature forest vegetation is important habitat for uncommon and rare bird species in northeast Iowa.",4,2003,23,3,262,273
"HUANG, LB; MURRAY, F; YANG, XH",INTERACTION BETWEEN MILD SALINITY AND SUBLETHAL SO2 POLLUTION ON WHEAT (TRITICUM-AESTIVUM CULTIVAR WILGOYNE (CIANO GALLO)) .2. ACCUMULATION OF SULFUR AND IONS,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,Article,"Wheat (Triticum aestivum cultivar 'Wilgoyne' (Ciano/Gallo)) plants were exposed to a factorial combination of two levels of salinity (control and 50 mM NaCl), and three levels of SO2 ( < 10, 231, and 441 nl l-1) in fumigation chambers with rain-exclusion tops for 4 h day-1 for up to 42 days. The study was to investigate whether mild salinity stress could influence the accumulation and reduction of SO2 absorbed and SO2 fumigation could modify the salt ion concentrations in the plant tissues. SO2 fumigation significantly increased sulphur concentration in the shoots, but not in the roots. The SO2 absorbed in the leaves was mostly oxidized into sulphate and little reduced into organic sulphur compounds. NaCl salinity decreased the sulphate concentration in leaves, but did not affect the organic sulphur concentration. There was an antagonistic interaction between SO2 fumigation and NaCl salinity on the concentration of sulphate in the leaves. SO2 fumigation, salinity, and their combination affected the concentrations of Cl-, K+, Na+, Ca2+ and Mg2+ in the plant tissues Exposure to SO2 increased the K+ concentration in the leaves, but decreased the Cl-, Ca2+ and Mg2+ concentrations. SO2 fumigation and NaCl salinity had an antagonistic interaction on the concentrations of K+, Cl-, Ca2+ and Mg2+ in the leaf tissue. The Na+ concentration in the youngest fully expanded leaves of the saline plants was decreased by exposure to 441 nl l-1 SO2. Plant tolerance to NaCl salinity may have been enhanced by SO2 fumigation by decreasing Na+ and Cl- concentration and increasing the K+ concentration in the leaves. The antagonistic interactions between SO2 fumigation and NaCl salinity on the SO2 uptake and salt accumulation in the leaves may be responsible for their antagonistic interaction on plant growth.",4,1994,47,4,335,351
"LARSEN, BR","SYNERGISTIC EFFECTS OF ACID-RAIN AND (+/-)-2-(2,4-DICHLOROPHENOXY)-PROPANOIC ACID (2,4-DP) ON GROWTH, MINERAL-CONTENT AND STRESS-INDUCED ETHYLENE IN LETTUCE",ENVIRONMENTAL POLLUTION SERIES A-ECOLOGICAL AND BIOLOGICAL,Article,,4,1986,41,2,179,196
"Soudzilovskaia, NA; Douma, JC; Akhmetzhanova, AA; van Bodegom, PM; Cornwell, WK; Moens, EJ; Treseder, KK; Tibbett, M; Wang, YP; Cornelissen, JHC",Global patterns of plant root colonization intensity by mycorrhizal fungi explained by climate and soil chemistry,GLOBAL ECOLOGY AND BIOGEOGRAPHY,Article,"AimMost vascular plants on Earth form mycorrhizae, a symbiotic relationship between plants and fungi. Despite the broad recognition of the importance of mycorrhizae for global carbon and nutrient cycling, we do not know how soil and climate variables relate to the intensity of colonization of plant roots by mycorrhizal fungi. Here we quantify the global patterns of these relationships. LocationGlobal. MethodsData on plant root colonization intensities by the two dominant types of mycorrhizal fungi world-wide, arbuscular (4887 plant species in 233 sites) and ectomycorrhizal fungi (125 plant species in 92 sites), were compiled from published studies. Data for climatic and soil factors were extracted from global datasets. For a given mycorrhizal type, we calculated at each site the mean root colonization intensity by mycorrhizal fungi across all potentially mycorrhizal plant species found at the site, and subjected these data to generalized additive model regression analysis with environmental factors as predictor variables. ResultsWe show for the first time that at the global scale the intensity of plant root colonization by arbuscular mycorrhizal fungi strongly relates to warm-season temperature, frost periods and soil carbon-to-nitrogen ratio, and is highest at sites featuring continental climates with mild summers and a high availability of soil nitrogen. In contrast, the intensity of ectomycorrhizal infection in plant roots is related to soil acidity, soil carbon-to-nitrogen ratio and seasonality of precipitation, and is highest at sites with acidic soils and relatively constant precipitation levels. Main conclusionsWe provide the first quantitative global maps of intensity of mycorrhizal colonization based on environmental drivers, and suggest that environmental changes will affect distinct types of mycorrhizae differently. Future analyses of the potential effects of environmental change on global carbon and nutrient cycling via mycorrhizal pathways will need to take into account the relationships discovered in this study.",3,2015,24,3,371,382
"Zheng, ZM; Fu, BJ; Hu, HT; Sun, G","A method to identify the variable ecosystem services relationship across time: a case study on Yanhe Basin, China",LANDSCAPE ECOLOGY,Article,"Ecosystem services are increasingly recognized as the foundations of a well-functioning society. Large-scale ecological restoration projects have been implemented around China with the goal of restoring and sustaining ecosystem services, especially in vulnerable semi-arid regions where soil and water resources are most stressed due to historic human activities. The relationships among ecosystem services are often driven by land-use changes. It is necessary to develop an applicable method to explore the relationships between ecosystem services and driving factors over time. We selected the Yanhe Basin on China's Loess Plateau as the study area, which has experienced a large-scale Grain for Green Project (GGP), and quantified four ecosystem services (soil conservation, water retention, water yield, and crop production). The results of this study show that different trends have occurred for ecosystem services during 2000-2008. We found potential tradeoffs between soil conservation and water yield. Synergies may exist among water retention and soil conservation/water yield. Two types of preconditions were pointed out in the analysis process to define the potential relationships among ecosystem service variables. The correspondence analysis was used to explore its intrinsic linkage and its variations among ecosystemservices, land uses, and spatial locations. It suggests that the intensities of the ecosystem services provided by most of land uses and the internal proportion of regulating service to provision service in a sub-basin has been changed by GGP, but the relative spatial patterns of ecosystem services are still being maintained in entire basin scale from 1980 to 2008.",3,2014,29,10,1689,1696
"Cubaynes, S; MacNulty, DR; Stahler, DR; Quimby, KA; Smith, DW; Coulson, T",Density-dependent intraspecific aggression regulates survival in northern Yellowstone wolves (Canis lupus),JOURNAL OF ANIMAL ECOLOGY,Article,"Understanding the population dynamics of top-predators is essential to assess their impact on ecosystems and to guide their management. Key to this understanding is identifying the mechanisms regulating vital rates. Determining the influence of density on survival is necessary to understand the extent to which human-caused mortality is compensatory or additive. In wolves (Canis lupus), empirical evidence for density-dependent survival is lacking. Dispersal is considered the principal way in which wolves adjust their numbers to prey supply or compensate for human exploitation. However, studies to date have primarily focused on exploited wolf populations, in which density-dependent mechanisms are likely weak due to artificially low wolf densities. Using 13years of data on 280 collared wolves in Yellowstone National Park, we assessed the effect of wolf density, prey abundance and population structure, as well as winter severity, on age-specific survival in two areas (prey-rich vs. prey-poor) of the national park. We further analysed cause-specific mortality and explored the factors driving intraspecific aggression in the prey-rich northern area of the park. Overall, survival rates decreased during the study. In northern Yellowstone, density dependence regulated adult survival through an increase in intraspecific aggression, independent of prey availability. In the interior of the park, adult survival was less variable and density-independent, despite reduced prey availability. There was no effect of prey population structure in northern Yellowstone, or of winter severity in either area. Survival was similar among yearlings and adults, but lower for adults older than 6years. Our results indicate that density-dependent intraspecific aggression is a major driver of adult wolf survival in northern Yellowstone, suggesting intrinsic density-dependent mechanisms have the potential to regulate wolf populations at high ungulate densities. When low prey availability or high removal rates maintain wolves at lower densities, limited inter-pack interactions may prevent density-dependent survival, consistent with our findings in the interior of the park.",3,2014,83,6,1344,1356
"Palacios-Agundez, I; de Manuel, BF; Rodriguez-Loinaz, G; Pena, L; Ametzaga-Arregi, I; Alday, JG; Casado-Arzuaga, I; Madariaga, I; Arana, X; Onaindia, M",Integrating stakeholders' demands and scientific knowledge on ecosystem services in landscape planning,LANDSCAPE ECOLOGY,Article,"The conflict between conservation and timber production is shifting in regions such as Biscay (Basque Country, northern Spain) where planted forests are no longer profitable without public subsidies and environmentalist claim that public subsidies should be reoriented to the regeneration of natural forest. This paper develops an approach that integrates scientific knowledge and stakeholders' demands to provide decision-making guidelines for the development of new landscape planning strategies while considering ecosystem services. First, a participatory process was conducted to develop a community vision for the region's sustainable future considering the opportunities and constrains provided by the landscape and its ecosystems. In the participatory process forest management was considered an important driver for the region`s landscape development and forest multi-functionality was envisioned as a feasible attractive alternative. The participatory process identified a knowledge gap on the synergies and trade-offs between biodiversity and carbon storage and how these depend on different forest types. Second, to study the existing synergies and trade-offs between biodiversity and carbon storage and disentangle the identified knowledge gap, a GIS-based research was conducted based on spatially explicit indicators. Our spatial analysis results showed that natural forests' contribution to biodiversity and carbon storage is higher than that of the plantations with exotic species in the region. The results from the spatial analysis converged with those from the participatory process in the suitability of promoting, where possible and appropriate, natural forest ecosystems restoration. This iterative learning and decision making process is already showing its effectiveness for decision making, with concrete examples of how the results obtained with the applied approach are being included in planning and decision-making processes.",3,2014,29,8,1423,1433
"Santora, JA; Schroeder, ID; Field, JC; Wells, BK; Sydeman, WJ",Spatio-temporal dynamics of ocean conditions and forage taxa reveal regional structuring of seabird-prey relationships,ECOLOGICAL APPLICATIONS,Article,"Studies of predator prey demographic responses and the physical drivers of such relationships are rare, yet essential for predicting future changes in the structure and dynamics of marine ecosystems. Here, we hypothesize that predator prey relationships vary spatially in association with underlying physical ocean conditions, leading to observable changes in demographic rates, such as reproduction. To test this hypothesis, we quantified spatio-temporal variability in hydrographic conditions, krill, and forage fish to model predator (seabird) demographic responses over 18 years (1990-2007). We used principal component analysis and spatial correlation maps to assess coherence among ocean conditions, krill, and forage fish, and generalized additive models to quantify interannual variability in seabird breeding success relative to prey abundance. The first principal component of four hydrographic measurements yielded an index that partitioned ""warm/weak upwelling"" and ""cool/strong upwelling"" years. Partitioning of krill and forage fish time series among shelf and oceanic regions yielded spatially explicit indicators of prey availability. Krill abundance within the oceanic region was remarkably consistent between years, whereas krill over the shelf showed marked interannual fluctuations in relation to ocean conditions. Anchovy abundance varied on the shelf, and was greater in years of strong stratification, weak upwelling and warmer temperatures. Spatio-temporal variability of juvenile forage fish co-varied strongly with each other and with krill, but was weakly correlated with hydrographic conditions. Demographic responses between seabirds and prey availability revealed spatially variable associations indicative of the dynamic nature of ""predator habitat"" relationships. Quantification of spatially explicit demographic responses, and their variability through time, demonstrate the possibility of delineating specific critical areas where the implementation of protective measures could maintain functions and productivity of central place foraging predators.",3,2014,24,7,1730,1747
"Stojanovic, D; Webb, MH; Alderman, R; Porfirio, LL; Heinsohn, R",Discovery of a novel predator reveals extreme but highly variable mortality for an endangered migratory bird,DIVERSITY AND DISTRIBUTIONS,Article,"Aim Introduced predators are a global driver of species decline, but their impact on highly mobile species is poorly understood. We report the severe impact of a previously undocumented introduced predator on the endangered, migratory swift parrot (Lathamus discolor). Sugar gliders (Petaurus breviceps), a supposedly benign introduced species, were detected acting as a major opportunistic predator of cavity-nesting birds. We assessed the intensity and geographical extent of sugar glider predation and investigated whether habitat loss exacerbated predation risk to swift parrots. Location Tasmania, Australia. Methods We monitored nests of swift parrots for 3 years with motion-activated cameras. We used bioclimatic modelling to predict the potential distribution of introduced sugar gliders across the study area and assessed the predation risk to swift parrots and other threatened birds in the region using nest-survival analysis. Results Daily survival of nests in areas where sugar gliders occurred was mean 0.97, which equated to a true likelihood of 0.17 for a nest to survive the 60-day nesting period. No nests failed on an offshore island where sugar gliders were shown to be absent. Most cases (83.3%) of glider predation resulted in the death of the adult female parrot. On the Tasmanian mainland, there was a positive relationship between nest survival and increasing mature forest cover at the landscape scale. Main conclusions Predation risk varied dramatically across the breeding range of swift parrots, depending on the presence of sugar gliders. Offshore islands are an important refuge for swift parrots because sugar gliders are absent. However, islands are vulnerable, and our bioclimatic model shows that they are bioclimatically suitable for sugar gliders. Synergistic interactions between predation and habitat loss combine with low breeding-site philopatry to expose swift parrots to dramatic variation in predation risk depending on nesting location.",3,2014,20,10,1200,1207
"Trejo-Hernandez, A; Andrade-Dominguez, A; Hernandez, M; Encarnacion, S",Interspecies competition triggers virulence and mutability in Candida albicans-Pseudomonas aeruginosa mixed biofilms,ISME JOURNAL,Article,"Inter-kingdom and interspecies interactions are ubiquitous in nature and are important for the survival of species and ecological balance. The investigation of microbe-microbe interactions is essential for understanding the in vivo activities of commensal and pathogenic microorganisms. Candida albicans, a polymorphic fungus, and Pseudomonas aeruginosa, a Gram-negative bacterium, are two opportunistic pathogens that interact in various polymicrobial infections in humans. To determine how P. aeruginosa affects the physiology of C. albicans and vice versa, we compared the proteomes of each species in mixed biofilms versus single-species biofilms. In addition, extracellular proteins were analyzed. We observed that, in mixed biofilms, both species showed differential expression of virulence proteins, multidrug resistance-associated proteins, proteases and cell defense, stress and iron-regulated proteins. Furthermore, in mixed biofilms, both species displayed an increase in mutability compared with monospecific biofilms. This characteristic was correlated with the downregulation of enzymes conferring protection against DNA oxidation. In mixed biofilms, P. aeruginosa regulates its production of various molecules involved in quorum sensing and induces the production of virulence factors (pyoverdine, rhamnolipids and pyocyanin), which are major contributors to the ability of this bacterium to cause disease. Overall, our results indicate that interspecies competition between these opportunistic pathogens enhances the production of virulence factors and increases mutability and thus can alter the course of host-pathogen interactions in polymicrobial infections.",3,2014,8,10,1974,1988
"Clark, ES; Pompini, M; da Cunha, LM; Wedekind, C",Maternal and paternal contributions to pathogen resistance dependent on development stage in a whitefish (Salmonidae),FUNCTIONAL ECOLOGY,Article,"It is often assumed that maternal and paternal contributions to offspring phenotype change over the lifetime of an individual. However, studies on parental effects typically suffer from the problems that heritabilities and maternal environmental effects are difficult to separate, and that both may depend on environmental factors and developmental stage. In order to experimentally disentangle maternal from paternal contributions and the likely effects of developmental stage from ecological effects, we sampled a natural population of the whitefish Coregonus palaea, used gametes for full-factorial in vitro fertilizations, raised over 10000 of the resulting offspring singly at controlled conditions, and exposed them at different points during embryonic development to one of two strains of Pseudomonas fluorescens that differed in their virulence characteristics (only one caused mortality, while both delayed hatching and reduced growth). Vulnerability to infection increased markedly over embryo development. This change coincided with a distinct shift in the importance of maternal to additive genetic effects on survival. Timing of exposure also affected the variance components for hatching time and larval length, but in a less consistent direction than the variance components for mortality. No significant genetic variation was found for any reaction norms across time points of exposure, indicating a uniformity among genotypes in how susceptibility changed over development. Phenotypes were also typically correlated across time points, which could constrain the evolution of the reaction norms. Our experiment demonstrates that the relative maternal and paternal contributions to susceptibility to an infection, and hence the evolutionary potential to respond to pathogen-induced selection, depends not only on the kind of pathogenic stress but also on the timing of the challenge.",3,2014,28,3,714,723
"Gooden, B; French, K",Non-interactive effects of plant invasion and landscape modification on native communities,DIVERSITY AND DISTRIBUTIONS,Article,"Aim Biological invasions and anthropogenic habitat modification are considered to be the leading drivers of global environmental change, yet their synergistic impacts on native communities remain poorly understood. We tested the effects of an invasive grass, Stenotaphrum secundatum, on an endangered coastal swamp forest community across an anthropogenic land use gradient. We also investigated the relative importance of landscape versus local community attributes in mediating the effects of S.secundatum invasion on the community. Location Four hundred kilometres of the coastline of south-eastern Australia. Methods We compared the diversity, composition and recruitment of resident vegetation in 32 invaded and 32 non-invaded forest stands across an anthropogenic land use gradient. Local disturbance and environmental attributes of the forest (e.g. fire severity, litter abundance, canopy openness, vegetation structure) and adjacent landscape matrix (e.g. cover of forest, urban and agricultural land) were measured in detail at each site. Results Invasion was associated with substantial local extinctions of native plant species (i.e. 83% fewer species in invaded sites), altered community compositions and an 85% reduction in rates of woody plant recruitment. Local disturbances and environmental attributes of forest stands and adjacent landscape matrix were similar between invaded and native sites. Invasion caused a twofold increase in litter biomass, which we hypothesize is the primary mechanism by which the invader excludes native species. Landscape modification had no effect on the diversity of adjacent swamp forest. There was no interactive effect of landscape modification and invasion on the native community; species losses in response to invasion were high regardless of the condition of the adjacent matrix. Main conclusions We show that impacts of non-native species are not dependent on landscape context and, unexpectedly, that invasion by an alien plant poses a greater threat to diversity of endangered swamp forests than modification of the adjacent matrix.",3,2014,20,6,626,639
"Govers, LL; Pieck, T; Bouma, TJ; Suykerbuyk, W; Smolders, AJP; van Katwijk, MM",Seagrasses are negatively affected by organic matter loading and Arenicola marina activity in a laboratory experiment,OECOLOGIA,Article,"When two ecosystem engineers share the same natural environment, the outcome of their interaction will be unclear if they have contrasting habitat-modifying effects (e.g., sediment stabilization vs. sediment destabilization). The outcome of the interaction may depend on local environmental conditions such as season or sediment type, which may affect the extent and type of habitat modification by the ecosystem engineers involved. We mechanistically studied the interaction between the sediment-stabilizing seagrass Zostera noltii and the bioturbating and sediment-destabilizing lugworm Arenicola marina, which sometimes co-occur for prolonged periods. We investigated (1) if the negative sediment destabilization effect of A. marina on Z. noltii might be counteracted by positive biogeochemical effects of bioirrigation (burrow flushing) by A. marina in sulfide-rich sediments, and (2) if previously observed nutrient release by A. marina bioirrigation could affect seagrasses. We tested the individual and combined effects of A. marina presence and high porewater sulfide concentrations (induced by organic matter addition) on seagrass biomass in a full factorial lab experiment. Contrary to our expectations, we did not find an effect of A. marina on porewater sulfide concentrations. A. marina activities affected the seagrass physically as well as by pumping nutrients, mainly ammonium and phosphate, from the porewater to the surface water, which promoted epiphyte growth on seagrass leaves in our experimental set-up. We conclude that A. marina bioirrigation did not alleviate sulfide stress to seagrasses. Instead, we found synergistic negative effects of the presence of A. marina and high sediment sulfide levels on seagrass biomass.",3,2014,175,2,677,685
"Kortet, R; Vainikka, A; Janhunen, M; Piironen, J; Hyvarinen, P",Behavioral variation shows heritability in juvenile brown trout Salmo trutta,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,Article,"Animal personalities (sometimes referred also as coping styles) and their fitness consequences are currently among the most intensively explored subjects in behavioral ecology. To estimate the evolvability and adaptability of individually consistent behavioral variation, there is a crucial need to quantify the genetics underlying personality. Here, we experimentally studied the repeatability of various individual behaviors and then estimated heritability of formed boldness, exploration, and aggression components in juvenile brown trout Salmo trutta in standardized laboratory environment. Principal component analysis indicated that individually recorded behaviors were described by two personality axes: the first reflecting boldness, exploration, and aggression and the second tendency to freeze. These personality components, as well as the originally recorded behaviors, were statistically significantly repeatable over time. The latter PC, but not the first one, was statistically significantly heritable, though at low level (h (2) = 0.142 +/- 0.096). These results suggest that additive genetic variation underlies phenotypically consistent behavioral patterns, proposing that any selection acting on behavior, stress tolerance, or correlated traits has a potential to induce evolution in fish personality.",3,2014,68,6,927,934
"Baumgartner, S; Strunz, S",The economic insurance value of ecosystem resilience,ECOLOGICAL ECONOMICS,Article,"Ecosystem resilience, i.e. an ecosystem's ability to maintain its basic functions and controls under disturbances, is often interpreted as insurance: by decreasing the probability of future drops in the provision of ecosystem services, resilience insures risk-averse ecosystem users against potential welfare losses. Using a general and stringent definition of ""insurance"" and a simple ecological-economic model, we derive the (marginal) economic insurance value of ecosystem resilience and study how it depends on ecosystem properties, economic context, and the ecosystem user's risk preferences. We show that (i) the insurance value of resilience is negative (positive) for low (high) levels of resilience, (ii) it increases with the level of resilience, and (iii) it is one additive component of the (overall always positive) economic value of resilience. (C) 2014 Elsevier B.V. All rights reserved.",3,2014,101,,21,32
"Brown, CJ; Saunders, MI; Possingham, HP; Richardson, AJ",Interactions between global and local stressors of ecosystems determine management effectiveness in cumulative impact mapping,DIVERSITY AND DISTRIBUTIONS,Article,"Aim Cumulative impact maps are used to identify the spatial distribution of multiple human impacts to species and ecosystems. Impacts can be caused by local stressors which can be managed, such as eutrophication, and by global stressors that cannot be managed, such as climate change. Cumulative impact maps typically assume that there are no interactive effects between stressors on biodiversity. However, the benefits of managing the ecosystem are affected by interactions between stressors. Our aim was to determine whether the assumption of no interactions in impact maps leads to incorrect identification of sites for management. Location General, Australasia. Methods We used the additive effects model to incorporate the effects of interactions into an interactive impact map. Seagrass meadows in Australasia threatened by a local stressor, nutrient inputs, and a global stressor, warming, were used as a case study. The reduction in the impact index was quantified for reductions in the nutrient stressor. We examined the outcomes for three scenarios: no interactions, antagonistic interactions or synergistic interactions. Results Cumulative impact maps imply that reducing a local stressor will give equivalent reductions in the impact index everywhere, regardless of spatial variability in a global stressor. We show that reductions in the impact index were greatest in refuges from warming if there was an antagonistic interaction between stressors, and greatest in areas of high warming stress if there was a synergistic interaction. Reducing the nutrient stressor in refuges from warming always reduced the impact index, regardless of the interaction. Main conclusions Interactions between local and global stressors should be considered when using cumulative impact maps to identify sites where management of a local stressor will provide the greatest impact reduction. If the interaction type is unknown, impact maps can be used to identify refuges from global stressors, as sites for management.",3,2014,20,5,538,546
"Grass, I; Berens, DG; Farwig, N",Guild-specific shifts in visitation rates of frugivores with habitat loss and plant invasion,OIKOS,Article,"Habitat loss and plant invasions are two major drivers of global change in subtropical and tropical ecosystems. Both lead to a loss of biodiversity and alter species interactions, which may imperil vital ecosystem processes such as seed dispersal by frugivores. Reponses of frugivores to disturbance are often linked to their specialization on certain habitats or resources. Yet, it is poorly understood how habitat loss and plant invasion structure interactions between plants and different habitat or feeding guilds. Here we investigated whether visitation rates of frugivores change guild-specifically with increasing habitat loss and invasion level in a heterogeneous subtropical landscape. In 756 h of observations, we recorded 1446 plant-frugivore interactions among 18 plant species and 42 avian frugivore species. Visitation rates of forest specialists decreased with increasing habitat loss, but not with changes in invasion level. In contrast forest generalists and forest visitors were unaffected by either driver. Similarly, obligate frugivores that overall showed a generalized fruit choice were unaffected by habitat loss and changes in invasion level. Contrary, visitation rates of specialized partial and opportunistic frugivores decreased with higher invasion level. Importantly, the negative effect of plant invasion on partial frugivores was more pronounced as habitat loss in the same study site increased, indicating a synergistic effect of the two drivers. The implications of our study are twofold: first, frugivores respond guild-specifically to habitat loss and plant invasion. Thereby forest dependency is mainly related to habitat loss, and degree of frugivory mainly related to plant invasion. Forest generalists and obligate frugivores in turn may play a key-role for forest regeneration in disturbed forest landscapes. Second, particularly frugivores with a specialized fruit choice may be threatened by synergistic effects between habitat loss and plant invasion.",3,2014,123,5,575,582
"Qadri, M; Rajput, R; Abdin, MZ; Vishwakarma, RA; Riyaz-Ul-Hassan, S","Diversity, Molecular Phylogeny, and Bioactive Potential of Fungal Endophytes Associated with the Himalayan Blue Pine (Pinus wallichiana)",MICROBIAL ECOLOGY,Article,"In this study, we investigated the diversity of fungal endophytes associated with Pinus wallichiana from the Western Himalayas, with emphasis on comparison of endophytic communities harbored by the stem and needle tissues of the host and their antimicrobial potential. A total number of 130 isolates, comprising of 38 different genera, were recovered from 210 fragments of the plant. Among the isolated fungi, only a single isolate, Tritirachium oryzae, belonged to the Phylum Basidiomycota whereas the rest belonged to Ascomycota. Dothideomycetes was the dominant class with the highest isolation frequency of 49.2 %. The most frequent colonizers of the host were Alternaria spp., Pestalotiopsis spp., Preussia spp., and Sclerostagonospora spp. The diversity and species richness were higher in needle tissues than in the stems. Antimicrobial activities were displayed by extracts from a total number of 22 endophytes against one or more pathogens. Endophytes designated as P1N13 (Coniothyrium carteri), P2N8 (Thielavia subthermophila), P4S6b (Truncatella betulae), P7N10 (Cochliobolus australiensis), and P8S4 (Tritirachium oryzae) were highly active against Candida albicans. Broad spectrum antimicrobial activities were obtained with the extracts of P8-S4 (Tritirachium oryzae) and P5-N26 (Coniochaeta gigantospora) that were potentially active against the Gram-positive and Gram-negative bacteria as well as the fungal pathogen, Candida albicans. The most prominent antagonistic activity against fungal pathogens was shown by P8-S4 (Tritirachium oryzae), P5-N31a (Truncatella spadicea), and P5-N20 (Fusarium larvarum). Our findings indicate that Pinus wallichiana harbors a rich endophytic fungal community with potential antimicrobial activities. Further studies are needed to understand the ecology and evolutionary context of the associations between the Himalayan pine and its endophytes.",3,2014,67,4,877,887
"Horvath, Z; Vad, CF; Toth, A; Zsuga, K; Boros, E; Voros, L; Ptacnik, R","Opposing patterns of zooplankton diversity and functioning along a natural stress gradient: when the going gets tough, the tough get going",OIKOS,Article,"Salinity represents a major structuring factor in aquatic habitats which strongly affects species richness. We studied the relationships among species richness, density and phylogenetic diversity of zooplankton communities along a natural salinity gradient in astatic soda pans in the Carpathian Basin (Hungary, Austria and Serbia). Diversity and density showed opposing trends along the salinity gradient. The most saline habitats had communities of one or two species only, with maximum densities well above 1000 ind l(-1). Similarity of communities increased with salinity, with most of the highly saline communities being dominated by one highly tolerant calanoid copepod, Arctodiaptomus spinosus, which was at the same time the only soda-water specialist. Salinity obviously constrained species composition and resulted in communities of low complexity, where few tolerant species ensure high biomass production in the absence of antagonistic interactions. The pattern suggests that environmental stress may result in highly constrained systems which exhibit high rates of functioning due to these key species, in spite of the very limited species pool.",3,2014,123,4,461,471
