"authors","title","journal","type","abstract","times_cited","PY","VL","IS","BP","EP","synergy","antag","additive","check"
"Baumgartner, S; Strunz, S","the economic insurance value of ecosystem resilience","ecological economics","Article","ecosystem resilience, i.e. an ecosystem's ability to maintain its basic functions and controls under disturbances, is often interpreted as insurance: by decreasing the probability of future drops in the provision of ecosystem services, resilience insures risk-averse ecosystem users against potential welfare losses. using a general and stringent definition of ""insurance"" and a simple ecological-economic model, we derive the (marginal) economic insurance value of ecosystem resilience and study how it depends on ecosystem properties, economic context, and the ecosystem user's risk preferences. we show that (i) the insurance value of resilience is negative (positive) for low (high) levels of resilience, (ii) it increases with the level of resilience, and (iii) it is one additive component of the (overall always positive) economic value of resilience. (c) 2014 elsevier b.v. all rights reserved.",3,2014,101,"","21","32",0,0,1,1
"Grass, I; Berens, DG; Farwig, N","guild-specific shifts in visitation rates of frugivores with habitat loss and plant invasion","oikos","Article","habitat loss and plant invasions are two major drivers of global change in subtropical and tropical ecosystems. both lead to a loss of biodiversity and alter species interactions, which may imperil vital ecosystem processes such as seed dispersal by frugivores. reponses of frugivores to disturbance are often linked to their specialization on certain habitats or resources. yet, it is poorly understood how habitat loss and plant invasion structure interactions between plants and different habitat or feeding guilds. here we investigated whether visitation rates of frugivores change guild-specifically with increasing habitat loss and invasion level in a heterogeneous subtropical landscape. in 756 h of observations, we recorded 1446 plant-frugivore interactions among 18 plant species and 42 avian frugivore species. visitation rates of forest specialists decreased with increasing habitat loss, but not with changes in invasion level. in contrast forest generalists and forest visitors were unaffected by either driver. similarly, obligate frugivores that overall showed a generalized fruit choice were unaffected by habitat loss and changes in invasion level. contrary, visitation rates of specialized partial and opportunistic frugivores decreased with higher invasion level. importantly, the negative effect of plant invasion on partial frugivores was more pronounced as habitat loss in the same study site increased, indicating a synergistic effect of the two drivers. the implications of our study are twofold: first, frugivores respond guild-specifically to habitat loss and plant invasion. thereby forest dependency is mainly related to habitat loss, and degree of frugivory mainly related to plant invasion. forest generalists and obligate frugivores in turn may play a key-role for forest regeneration in disturbed forest landscapes. second, particularly frugivores with a specialized fruit choice may be threatened by synergistic effects between habitat loss and plant invasion.",3,2014,123,"5","575","582",1,0,0,1
"Brown, CJ; Saunders, MI; Possingham, HP; Richardson, AJ","interactions between global and local stressors of ecosystems determine management effectiveness in cumulative impact mapping","diversity and distributions","Article","aim cumulative impact maps are used to identify the spatial distribution of multiple human impacts to species and ecosystems. impacts can be caused by local stressors which can be managed, such as eutrophication, and by global stressors that cannot be managed, such as climate change. cumulative impact maps typically assume that there are no interactive effects between stressors on biodiversity. however, the benefits of managing the ecosystem are affected by interactions between stressors. our aim was to determine whether the assumption of no interactions in impact maps leads to incorrect identification of sites for management. location general, australasia. methods we used the additive effects model to incorporate the effects of interactions into an interactive impact map. seagrass meadows in australasia threatened by a local stressor, nutrient inputs, and a global stressor, warming, were used as a case study. the reduction in the impact index was quantified for reductions in the nutrient stressor. we examined the outcomes for three scenarios: no interactions, antagonistic interactions or synergistic interactions. results cumulative impact maps imply that reducing a local stressor will give equivalent reductions in the impact index everywhere, regardless of spatial variability in a global stressor. we show that reductions in the impact index were greatest in refuges from warming if there was an antagonistic interaction between stressors, and greatest in areas of high warming stress if there was a synergistic interaction. reducing the nutrient stressor in refuges from warming always reduced the impact index, regardless of the interaction. main conclusions interactions between local and global stressors should be considered when using cumulative impact maps to identify sites where management of a local stressor will provide the greatest impact reduction. if the interaction type is unknown, impact maps can be used to identify refuges from global stressors, as sites for management.",3,2014,20,"5","538","546",1,1,1,3
"Marino, JA; Holland, MP; Maher, JM","predators and trematode parasites jointly affect larval anuran functional traits and corticosterone levels","oikos","Article","non-consumptive predator effects may have dramatic consequences for host-parasite interactions by influencing the ability of prey items to avoid, resist, or tolerate infection. both predators and parasites can affect host traits, such as growth rates and behavior, and these effects may in part be mediated through shared physiological pathways (e.g. the glucocorticoid stress hormone, corticosterone [cort]). here, we examined the effects of trematode parasites (digena: echinostomatidae) and predator (larval odonate) exposure on larvae of two amphibian species (rana sylvatica and r. clamitans) in laboratory experiments. first, we measured behavior and cort responses of tadpoles exposed to predator chemical cue in combination with parasite cue or under direct exposure to parasites. we then measured the combined effects of predator cue and parasite infection on survival and traits. evidence for effects of parasite cue in our study was equivocal, but we found novel interactive effects of parasites and predators on larval frogs. parasites and predators had antagonistic effects on cort, behavior, and morphology, and negative synergistic effects on development. in addition, parasite infection and predator cues additively reduced activity levels of both species and growth in wood frogs. negative effects of parasite infection on survival and traits were dose-dependent for both species, although wood frogs generally experienced stronger effects of infection than green frogs. our results emphasize the importance of considering effects of parasites as well as predators, since both can have strong effects on survival and the combination can have both additive and non-additive effects on key traits. these effects likely have important implications for amphibian population dynamics, community structure, and conservation.",3,2014,123,"4","451","460",1,1,1,3
"Kaldy, JE","effect of temperature and nutrient manipulations on eelgrass zostera marina l. from the pacific northwest, usa","journal of experimental marine biology and ecology","Article","global climate change will impact the three dominate drivers of estuarine seagrass productivity, temperature, light and nutrients. the response of pacific northwest (pnw) z. marina to interactive effects of temperature and nitrogen conditions was experimentally evaluated. experimental manipulations were conducted hydroponically in acrylic chambers. preliminary single factor experiments were conducted to evaluate physiological tolerances to temperature and nitrogen concentrations. eelgrass exhibited a statistically significant linear increase in relative growth with increasing nh4 concentration (range from 5 to 1000 mu m); in contrast, there was no relationship between relative growth rate and increasing no3 concentration. after 14 d there were no indications of plant mortality associated with nh4 or no3. leaf growth metrics exhibited strong statistically significant linear relationships with increasing water temperature (temperature range 4-25 degrees c), indicating broad thermal tolerance. in the factorial experiment, triplicate plants were exposed to 3 temperatures (10, 18 and 25 c) and 3 nitrate concentrations (10,30 and 100 mu m). most metrics (leaf elongation, growth, relative growth, wasting index) exhibited a statistically significant temperature effect but no nutrient concentration effect, indicating the importance of temperature on metabolic rates. plants at 18 and 25 c had significantly more wasting disease than plants at 10 c. tissue delta n-15 and c:n values exhibited significant nutrient concentration and temperature effects, indicating that both factors influenced how much no3 was incorporated into the tissues. whole plant non structural carbohydrate content exhibited no significant response to either temperature or nitrate concentration. temperature played a dominant role controlling z. marina response to nutrients; nitrogen toxicity was not observed, and in general the effects of temperature and nutrients were not synergistic. this work highlights the complex nature of z marina response to environmental conditions; additional multifactor experiments will be required to tease apart these interactions. published by elsevier b.v.",3,2014,453,"","108","115",1,0,0,1
"Traveset, A; Richardson, DM","mutualistic interactions and biological invasions","annual review of ecology evolution and systematics","Review; Book Chapter","mutualisms structure ecosystems and mediate their functioning. they also enhance invasions of many alien species. invasions disrupt native mutualisms, often leading to population declines, reduced biodiversity, and altered ecosystem functioning. focusing on three main types of mutualisms (pollination, seed dispersal, and plant-microbial symbioses) and drawing on examples from different ecosystems and from species-and community-level studies, we review the key mechanisms whereby such positive interactions mediate invasions and are in turn influenced by invasions. high interaction generalization is ""the norm"" in most systems, allowing alien species to infiltrate recipient communities. we identify traits that influence invasiveness (e.g., selfing capacity in plants, animal behavioral traits) or invasibility (e.g., partner choice in mycorrhizas/rhizobia) through mutualistic interactions. mutualistic disruptions due to invasions are pervasive, and subsequent cascading effects are also widespread. ecological networks provide a useful framework for predicting tipping points for community collapse in response to invasions and other synergistic drivers of global change.",3,2014,45,"","89","+",1,0,0,1
"Olsen, K; Ritson-Williams, R; Paul, VJ; Ross, C","combined effects of macroalgal presence and elevated temperature on the early life-history stages of a common caribbean coral","marine ecology progress series","Article","both global- and regional-scale stressors are contributing to the decline of corals on reefs across the planet. even though many factors affect corals, we have very little data on the relationship between multiple co-occurring stressors and their compounding effects on these critical ecosystem engineers. we provide evidence that under short-term exposure, the presence of the brown alga dictyota menstrualis has direct negative consequences for coral survival and recruitment, while seawater elevated to + 3.5 degrees c causes sub-lethal stress and compromises coral health. three life-history stages (larvae, 6 wk-old juveniles [similar to 0.15 cm(2)], and 1-2 yr-old colonies [0.8-45 cm(2)]) of the common caribbean coral porites astreoides were exposed to each stressor alone and in combination. exposure to d. menstrualis reduced the survival of p. astreoides larvae and 6 wk-old juveniles by similar to 40% and caused partial mortality in 1-2 yr-old colonies. elevated temperature did not cause mortality, but induced sub-lethal stress that was disparate among coral life-history stages. these stressors in combination predominately impacted corals in an independent manner. however, extended exposure resulted in a synergistic enhancement of oxidative damage (lipid peroxidation) in p. astreoides larvae. our results suggest that benthic macroalgae can greatly inhibit coral recruitment, and this pressure combined with rising sea-surface temperatures re presents a significant threat to the health of coral reef ecosystems. these results highlight the importance of local- and global-scale stressors acting in concert to impact coral demographics during critical early life-history stages.",3,2014,509,"","181","+",1,0,0,1
"Wolf, AT; Nugues, MM","synergistic effects of algal overgrowth and corallivory on caribbean reef-building corals","ecology","Article","indirect biotic interactions play a crucial role in structuring ecological communities, but many of these interactions have not been explored. algal competition and corallivory are two major stressors contributing to the decline of coral reefs. here, we provide the first evidence of algal-induced corallivory and synergistic effects between the two stressors on corals. when corals (montastraea faveolata) were placed in contact with algae (halimeda opuntia) together with corallivorous fireworms (hermodice carunculata) in aquaria, corals suffered high tissue mortality. this mortality was reduced in the presence of algae only, and no mortality occurred in the presence of fireworms only or when excluding both algae and fireworms. these findings were supported by field observations showing a predominance of fireworms inside algae contacting live corals, and by an in situ experiment demonstrating higher coral mortality in contact with algae left undisturbed than with algae from which all mobile epifauna were periodically removed. among the main contributing mechanisms, we suggest that algal contact produces decaying coral tissue that attracts the corallivore and enhances its aggregation behavior. our study demonstrates an indirect effect pathway by which algae can impact corals, which shares similarities with the classic models of apparent competition and habitat facilitation.",3,2013,94,"8","1667","1674",1,0,0,1
"Gera, A; Pages, JF; Romero, J; Alcoverro, T","combined effects of fragmentation and herbivory on posidonia oceanica seagrass ecosystems","journal of ecology","Article","fragmentation is a major agent for seagrass meadow decline, yet little is known about how it interacts with processes like herbivory, an important functional driver of seagrass meadows. the interaction with external stressors like fragmentation could exacerbate the effects of internal ecosystem drivers like herbivory, with distinct implications for ecosystem management. we used manipulative field experiments to assess these interactive effects in two posidonia oceanica seagrass meadows. we monitored replicated plots in small and large patches in two meadows suffering fragmentation with and without herbivores (using exclusion cages) to test whether fragment size and herbivory could act together to alter ecosystem functioning. we measured changes in defoliation rates, primary production, canopy height and nutrient content in all plots after 4months of herbivore exclusion. our results show that herbivores increased defoliation rates resulting in reduced primary production, nutrient content and canopy structure (canopy height). patch size (fragment) on its own also reduced primary production, nutrient content and canopy structure. we also observed significant additive interactions between herbivores and fragmentation on canopy structure and production responses. in addition, small patches showed nutrient limitation but were able to accumulate more carbohydrate reserves, probably due to a higher light availability. this may explain why small patches can persist under significant herbivore pressure. synthesis. while fragmentation has already been identified as an important external agent of seagrass decline, the combination of fragmentation and herbivory can seriously exacerbate structural losses and affect primary production, profoundly compromising the role of seagrasses as habitat-forming ecosystems. these interactions between external stressors and internal drivers may result in large unexpected consequences that may flow on to the rest of the ecosystem.",3,2013,101,"4","1053","1061",0,0,1,1
"Yang, LH","resource pulses of dead periodical cicadas increase the growth of american bellflower rosettes under competitive and non-competitive conditions","arthropod-plant interactions","Article","this experiment investigates how pulsed nutrient resources interact with intraspecific competition to influence biomass production and nutrient use efficiency in the american bellflower (campanulastrum americanum). the competitive environment of these plants was manipulated by growing plants alone or with neighboring conspecifics, and the occurrence of pulsed nutrient resources was manipulated through the addition of 17-year periodical cicada (magicicada septendecim) carcasses in order to simulate naturally occurring pulsed resources in this system. the addition of cicada carcasses increased mean plant biomass by 61 % compared to non-supplemented plants, while competition decreased mean plant biomass by 44 % compared to plants grown without competition; these effects were additive. in comparison, nutrient use efficiency decreased in fertilized plants (cicada-supplemented plants showed 20 % greater foliage nitrogen concentrations compared to non-supplemented plants), but was not significantly affected by the plant's competitive environment. in addition, cicada supplementation did not significantly increase the biomass asymmetry in competing pairs of plants. these results suggest that these plants increased their total nutrient uptake at a timescale commensurate with the pulsed increase in nutrient availability due to cicada carcass decomposition.",3,2013,7,"1","93","98",0,0,1,1
"Reece, JS; Passeri, D; Ehrhart, L; Hagen, SC; Hays, A; Long, C; Noss, RF; Bilskie, M; Sanchez, C; Schwoerer, MV; Von Holle, B; Weishampel, J; Wolf, S","sea level rise, land use, and climate change influence the distribution of loggerhead turtle nests at the largest usa rookery (melbourne beach, florida)","marine ecology progress series","Article","anthropogenic climate change adds to the existing suite of threats to species, such as habitat degradation, by increasing extinction risk and compromising the ability of species to respond adaptively to these stressors. because threats from anthropogenic climate change often interact synergistically with other threats, integrated assessments of the factors and processes that affect species persistence and distribution are required. we assessed the influence of coastal land use and climate change (specifically sea level rise) on the spatial distribution of nests within the largest loggerhead caretta caretta marine turtle rookery in the atlantic ocean, at melbourne beach, florida, from 1986 to 2006. we generated a multiple regression model based on climate change, sea-level rise and land use that describes 47% of the spatial variation in loggerhead nesting. nests have shifted northward (likely in response to warming temperatures), away from intensive coastal development, and, surprisingly, toward areas of increased erosion. using the bruun rule (an approximation of the response of the shoreline profile to sea level rise), we modeled the impacts of sea level rise of 0.25 and 0.5 m in conjunction with extrapolations of coastal development and a continued northward shift in nest distribution. we project up to a 43% decrease in beach area from 1986 to a future with 0.5 m of sea level rise and predict that loggerhead nesting will shift northward and become increasingly crowded on narrowing beaches. an implication of this study is that areas currently protected for large rookeries may not overlap with their future distributions.",3,2013,493,"","259","+",1,0,0,1
"Peters, VE; Greenberg, R","fruit supplementation affects birds but not arthropod predation by birds in costa rican agroforestry systems","biotropica","Article","as the global demand for the reliable provision of virtually all ecosystem services increases, it is imperative to conduct experimental research that tests specific mechanisms or drivers of the ecological processes that link to services, and whether these management actions can affect biodiversity and processes synergistically. agroforestry systems are ideal for such experiments due to their increased uniformity and the relative ease with which factors can be manipulated and isolated. manipulating the availability of food resources, we carried out an experimental test of this potential driver on bird diversity measures and the predatory services provided by birds in coffee agroforests. we constructed exclosures over coffee plants to measure arthropod removal intensity by birds comparing coffee agroforests with and without food resource (fruit) enrichment (the driver). fruit enrichment agroforests had significantly greater bird species density (50%), overall abundance (55%), and abundance of understory insectivore specialists (89%) compared with control agroforests. although 48 percent more arthropods were aspirated from coffee plants inside exclosures compared to coffee plants outside exclosures, fruit resource enrichment did not influence predatory activity by birds in the agroforests. the results of this study highlight the difficulties associated with managing lands for ecosystem services in complex ecosystems-management actions aimed at increasing numbers of the organisms involved in the interactions of ecological processes is not always equivalent to managing for an increase in the process itself.",3,2013,45,"1","102","110",1,0,0,1
"McFarland, CA; Talent, LG; Quinn, MJ; Bazar, MA; Wilbanks, MS; Nisanian, M; Gogal, RM; Johnson, MS; Perkins, EJ; Gust, KA","multiple environmental stressors elicit complex interactive effects in the western fence lizard (sceloporus occidentalis)","ecotoxicology","Article","evaluation of multiple-stressor effects stemming from habitat degradation, climate change, and exposure to chemical contaminants is crucial for addressing challenges to ecological and environmental health. to assess the effects of multiple stressors in an understudied taxon, the western fence lizard (sceloporus occidentalis) was used to characterize the individual and combined effects of food limitation, exposure to the munitions constituent 2,4,6-trinitrotoluene (tnt), and plasmodium mexicanum (lizard malaria) infection. three experimental assays were conducted including: experiment i-tnt x food limitation, experiment ii-food limitation x malaria infection, and experiment iii-tnt x malaria infection. all experiments had a 30 day duration, the malaria treatment included infected and non infected control lizards, food limitation treatments included an ad libitum control and at least one reduced food ration and tnt exposures consisting of daily oral doses of corn oil control or a corn oil-tnt suspension at 5, 10, 20, 40 mg/kg/day. the individual stressors caused a variety of effects including: reduced feeding, reduced testes mass, anemia, increased white blood cell (wbc) concentrations and increased mass of liver, kidney and spleen in tnt exposures; reduced cholesterol, wbc concentrations and whole body, testes and inguinal fat weights given food limitation; and increased wbc concentrations and spleen weights as well as decreased cholesterol and testes mass in malaria infected lizards. additive and interactive effects were found among certain stressor combinations including elimination of tnt-induced hormesis for growth under food limitation. ultimately, our study indicates the potential for effects modulation when environmental stressors are combined.",3,2012,21,"8","2372","2390",0,0,1,1
"Terra, TN; dos Santos, RF","measuring cumulative effects in a fragmented landscape","ecological modelling","Article","scientists recognize the importance of studying cumulative environmental effects as stressors, as there are countless stressors in human and technological development. however, existing studies acknowledge methodological limitations of measuring effects that combine and accumulate over time, making it difficult to interpret the processes leading to a given current landscape. therefore, the objective of this study was to develop a method that would make it possible to define the sequence of human actions and to measure relationships between type, intensity and distribution of cumulative effects by analyzing the past and present composition of the landscape. the method is based on the identification of the cumulative value of effects in landscape units of 900 m(2). the chronosequence of human activities triggering accumulated effects was obtained from superimposed maps and the magnitude of effects was evaluated using area graphs. the method proposed was applied in a study area, resulting in a map that clearly showed the distribution and synergy of cumulative effects in the study area. (c) 2012 elsevier b.v. all rights reserved.",3,2012,228,"","89","95",1,0,0,1
"Bryant, WL; Carlisle, DM","the relative importance of physicochemical factors to stream biological condition in urbanizing basins: evidence from multimodel inference","freshwater science","Article","many physicochemical factors potentially impair stream ecosystems in urbanizing basins, but few studies have evaluated their relative importance simultaneously, especially in different environmental settings. we used data collected in 25 to 30 streams along a gradient of urbanization in each of 6 metropolitan areas (mas) to evaluate the relative importance of 11 physicochemical factors on the condition of algal, macroinvertebrate, and fish assemblages. for each assemblage, biological condition was quantified using 2 separate metrics, nonmetric multidimensional scaling ordination site scores and the ratio of observed/expected taxa, both derived in previous studies. separate linear regression models with 1 or 2 factors as predictors were developed for each ma and assemblage metric. model parsimony was evaluated based on akaike's information criterion for small sample size (aicc) and akaike weights, and variable importance was estimated by summing the akaike weights across models containing each stressor variable. few of the factors were strongly correlated (pearson vertical bar r vertical bar > 0.7) within mas. physicochemical factors explained 17 to 81% of variance in biological condition. most (92 of 118) of the most plausible models contained 2 predictors, and generally more variance could be explained by the additive effects of 2 factors than by any single factor alone. none of the factors evaluated was universally important for all mas or biological assemblages. the relative importance of factors varied for different measures of biological condition, biological assemblages, and ma. our results suggest that the suite of physicochemical factors affecting urban stream ecosystems varies across broad geographic areas, along gradients of urban intensity, and among basins within single mas.",3,2012,31,"1","154","166",0,0,1,1
"Hoffle, H; Wernberg, T; Thomsen, MS; Holmer, M","drift algae, an invasive snail and elevated temperature reduce ecological performance of a warm-temperate seagrass, through additive effects","marine ecology progress series","Article","seagrasses are under pressure from multiple concurrent threats, including rising temperatures, invasive species and nutrient-driven algal accumulations. we quantified the abundance of drift algae and the invasive snail batillaria australis in 3 halophila ovalis seagrass beds in the swan river estuary (perth, western australia), and tested in an aquarium experiment for interactive effects of temperature (21 vs. 27 degrees c), cover of drift algae chaetomorpha linum (0 vs. 1.4 kg fresh wt m(-2)) and presence (0 vs. 120 snails m(-2)) of b. australis on the ecological performance of h. ovalis. the survey showed that drift algae varied considerably between sites and sampling times, and sites experienced average loads of 0.4 to 0.8 kg fresh wt m(-2) and extreme loads up to 2.5 kg fresh wt m(-2). in contrast, invasive snails were constantly abundant at all sites at all collection times (mean abundance: 489 snails m(-2)). in the laboratory experiment, drift algae caused increased shoot mortality and leaf loss rate, and suppressed the formation of new nodes. drift algae also decreased the depth of the sulphide horizon in the sediment and the oxygen concentration in the water column at night, suggesting increased risk of hypoxia. invasive snails reduced the biomass of h. ovalis leaves and roots, increased leaf plastochrone interval and decreased the depth of the sulphide horizon. finally, elevated temperature increased leaf loss and reduced leaf biomass, and, in the presence of drift algae, also reduced the length of the 2nd inter node. we found relatively few significant higher-order interactions, suggesting a dominance of additive effects of stress. we conclude that temperature, drift algae and invasive snails are already affecting the ecological performance of h. ovalis in swan river, and that these seagrass beds are likely to come under further pressure if these stressors increase in the future.",3,2012,450,"","67","U85",0,0,1,1
"Bowman, DMJS; Prior, LD; De Little, SC","retreating melaleuca swamp forests in kakadu national park: evidence of synergistic effects of climate change and past feral buffalo impacts","austral ecology","Article","melaleuca swamp forests form a fringe around seasonally inundated freshwater flood plains of kakadu national park (knp). previous studies based on the analysis of aerial photography reported an increase in woody plant cover on these flood plains, apparently associated with changed fire regimes, increased rainfall and possibly increased atmospheric co2. in opposition to this woody vegetation encroachment past high densities of feral buffalo in the 1960 to mid 1980s changed the hydrology of the knp flood plains, allowing increased penetration of saltwater causing extensive death of melaleuca forests. climate change has increased sea levels and there is concern that this will threaten the freshwater ecosystems of knp. we hypothesized that melaleuca forests that were previously impacted by high densities of feral buffalo have continued to decline because of salinization driven by sea level rise. we examined this hypothesis by overlaying georeferenced aerial photography taken in 1964, 1984 and 2004 in a geographic information environment, and then constructing generalized linear fixed effects and mixed effects models to rank the statistical strength of different drivers of melaleuca forest contraction. we found that there has been a 5% overall contraction of melaleuca forests over the last 50 years on our study sites, although the amount of contraction varied both geographically and temporally. the amount of melaleuca forest contraction was greatest during the 1984-2004 interval, when buffalo densities were low. contraction was greatest on the melaleuca forest edges, at low-lying sites, and where high densities of buffalo were apparent in 1964. these results suggest the enduring legacy effect of past buffalo damage will amplify the effects of sea level rise on the flood plains of knp.",3,2010,35,"8","898","905",1,0,0,1
"Vaidyanathan, S; Krishnaswamy, J; Kumar, NS; Dhanwatey, H; Dhanwatey, P; Karanth, KU","patterns of tropical forest dynamics and human impacts: views from above and below the canopy","biological conservation","Article","tropical forests are influenced by regional and global bio-climatic processes as well as local anthropogenic disturbances. most studies have ignored the synergistic influence of bio-physical processes operating at large spatial scales and local human use on forest vegetation and fauna. assessments of forest condition change using time-series of remotely sensed data need to be supported by measurements under the canopy. the tadoba-andhari tiger reserve (tatr) in india is a protected area that has a long history of human resource extraction and settlements. like much of south asia. it has undergone major shifts in rainfall in the last hundred years. we examine trends in forest greenness over two and half decades and assess spatial patterns in rates of change. we also analyze ground based measurements of human impacts on flora and fauna. trends in forest canopy greenness show two distinct phases: a period of decline from 1980s to mid-90s, followed by a recovery. these trends are a function of initial greenness and are best explained by prevailing climatic regimes, feed-backs from human use, and park management practices and protection. negative impacts to flora and fauna on the ground were, however, wide-spread during the recovery period and are influenced by proximity to nearest settlement as well as combined distance from all settlements. remotely sensed data cannot effectively detect these processes under the canopy. there is an urgent need to incorporate monitoring of long-term bio-climatic processes and their interaction with short and long-term effects of human-use and disturbance arising from processes at local, regional and larger spatial scales around protected areas to effectively manage these reserves. (c) 2010 elsevier ltd. all rights reserved.",3,2010,143,"12","2881","2890",1,0,0,1
"Regular, PM; Robertson, GJ; Montevecchi, WA; Shuhood, F; Power, T; Ballam, D; Piatt, JF","relative importance of human activities and climate driving common murre population trends in the northwest atlantic","polar biology","Article","seabird populations are affected by environmental and anthropogenic influences on a global scale. many population-level responses to climate change have been shown, yet few studies have addressed the additive and/or relative impact of environmental and anthropogenic influences on seabird populations. using a mixed model approach, we analyzed the trends in plot counts of common murres (uria aalge) from a low arctic colony at cape st. mary's, newfoundland, across 26 years (1980-2006). we tested for associations between population change and various environmental and anthropogenic covariates: water temperature, winter north atlantic oscillation, hunting mortality, oil pollution, by-catch in fishing gear, and visitor disturbance. the number of murres occupying central plots decreased from 1980 to 1989 and increased from 1990 to 2006. annual changes in the population were negatively associated with the estimated number of murres killed in the newfoundland murre hunt and the high numbers killed in the early 1980s likely caused the observed population decline. the large number of gillnets set in newfoundland waters during the 1980s, and associated incidence of drowning through by-catch, probably also contributed to the observed decline. though a centennially significant cold-water perturbation in 1991 forced a regime shift in pelagic food webs, the effect of ocean climate variability on the population was not obvious. we conclude that management efforts should focus on assessing and mitigating the effects of human-induced influences and consider the potential additive effects of climate change.",3,2010,33,"9","1215","1226",0,0,1,1
"Stangeland, T; Remberg, SF; Lye, KA","antioxidants in some ugandan fruits","african journal of ecology","Article","several studies indicate that a plant-based diet protects against the development of some serious diseases. it is assumed that the antioxidant content in food is an important reason for this protection. dietary plants contain several hundred antioxidants, many of which are believed to act in a synergistic way to protect the body against oxidative stress. berries, fruits, spices and some nuts have proved to be excellent sources of antioxidants. in this preliminary study, many fruits and some seeds from ugandan plants have been analysed for total antioxidant activity using the frap (ferric reducing ability of plasma) assay. our results demonstrate that there is a large variation in antioxidant activity between the samples analysed. the plants with highest activity in decreasing order were found to be: african black olive (canarium sweinfurthii), pomegranate, guava, java plum (syzygium cuminii), sweet banana, tamarind, mango, orange and passion fruits, with antioxidant values in the range of 47.25 to 0.77 mmol per 100 g fresh weight. we believe that increased awareness of antioxidant activity in food and resulting change in food intake can be of importance for an improved health situation.",3,2007,45,"","29","30",1,0,0,1
"Mitchel, REJ; Audette-Stuart, M; Yankovich, T","effects of ionizing radiation combined with other stressors, on non-human biota","multiple stressors: a challenge for the future","Proceedings Paper","exposure of organisms in the environment to ionizing radiation is generally considered to be harmful, regardless of the dose. this assumption derives directly from the basic assumption used for human radiation protection, that harm is directly proportional to dose, without a threshold. the consequence of combined exposures is generally unknown, but is assumed to be either additive or multiplicative. we have examined the in vivo and in vitro responses of a variety of cells and organisms. we show that exposure to one stressor can influence the outcome of a subsequent exposure to the same or another stressor. in many cases, pre-exposure to one stressor appeared to induce an adaptive response that mitigated the harm from a second stressor. these observations challenge the basic assumptions used in environmental protection strategies, suggesting that new approaches are needed.",3,2007,NA,"","31","38",0,0,1,1
"Little, EE; Bridges, CM; Linder, G; Boone, M","establishing causality in the decline and deformity of amphibians: the amphibian research and monitoring initiative model","multiple stressor effects in relation to declining amphibian populations","Proceedings Paper","research to date has indicated that a range of environmental variables such as disease, parasitism, predation, competition, environmental contamination, solar ultraviolet radiation, climate change, or habitat alteration may be responsible for declining amphibian populations and the appearance of deformed organisms, yet in many cases no definitive environmental variable stands out as a causal factor. multiple stressors are often present in the habitat, and interactions among these can magnify injury to biota. this raises the possibility that the additive or synergistic impact of these stressors may be the underlying cause of amphibian declines. effective management for the restoration of amphibian populations requires the identification of causal factors contributing to their declines. a systematic approach to determine causality is especially important because initial impressions may be misleading or ambiguous. in addition, the evaluation of amphibian populations requires consideration of a broader spatial scale than commonly used in regulatory monitoring. we describe a systematic three-tiered approach to determine causality in amphibian declines and deformities. tier i includes an evaluation of historic databases and extant data and would involve a desktop synopsis of the status of various stressors as well as site visits. tier 2 studies are iterative, hypothesis driven studies beginning with general tests and continuing with analyses of increasing complexity as certain stressors are identified for further investigation. tier 3 applies information developed in tier 2 as predictive indicators of habitats and species at risk over broad landscape scales and provides decision support for the adaptive management of amphibian recovery. this comprehensive, tiered program could provide a mechanistic approach to identifying and addressing specific stressors responsible for amphibian declines across various landscapes.",3,2003,1443,"","263","277",1,0,1,2
"Leuven, RSEW; Haans, JLM; Hendriks, AJ; Lock, RAC; Bonga, SEW","assessing cumulative impacts of multiple stressors on river systems","new concepts for sustainable management of river basins","Proceedings Paper","the cumulative impacts of multiple stressors on water systems are of rapidly growing concern within the field of environmental sciences and management, most studies have focused on mixture toxicity and have dealt with responses of biota at either organismal or population level. few studies have addressed responses of organisms exposed to combinations of chemical and physical stressors. although antagonistic, additive and synergistic effects have been described for exposure of biota to combinations of chemical stressors, it seems to be agreed that concentration addition proves to be a reasonable worst case estimation. therefore, aggregation of physico-chemical parameters in water quality indices and supplementary specifications of environmental quality objectives to account for mixture toxicity are generally based on concentration addition. in spite of a growing interest in multiple stressors, basic data are often lacking or inadequate to allow precise predictions of the cumulative impacts of multiple stressors at the ecosystem level. even in the long term, investigation of all probable ecotoxicological responses to exposure to all possible combinations of stressors does not seem practically or economically feasible. monitoring of a sophisticated combination of physico-chemical, and biological parameters improves detection and ecotoxicological risk assessment of multiple stressors. application of quantitative structure-activity relationships, algorithms for mixture toxicity of known substances, (bio)chemical group parameters and response-oriented sum parameters may reduce uncertainties of cumulative impact assessment and can improve water quality management.",3,1998,NA,"","241","259",1,1,1,3
