authors,title,source,type,keywords,abstract,times)cited,PY,VL,IS,BP,EP,DI
"Simonson, WD; Allen, HD; Coomes, DA",Applications of airborne lidar for the assessment of animal species diversity,METHODS IN ECOLOGY AND EVOLUTION,Review,biodiversity indicators; foliage height diversity; habitat heterogeneity; habitat structure; monitoring; remote sensing; vegetation structure,"1. Habitat structure is important in explaining species diversity patterns for many animal groups. If we could map habitat structure over large spatial scales, we could use habitat structure-species diversity (HS-SD) relationships to model species diversity and inform conservation planning and management. Traditional approaches for measuring habitat structure cannot be applied over entire landscapes, but remote sensing tools are now able to overcome this limitation. Here, we explore the potential of airborne lidar for the assessment and monitoring of animal species diversity in terrestrial environments. 2. We review the habitat attributes commonly recorded in the study of HS-SD relationships and the spatial scale of their measurement, in papers published between 1960 and 2013. We also gather evidence for the use of lidar to make relevant measurements at similar scales. 3. Eight out of 15 attributes of habitat structure commonly used in published studies relate to the vertical dimension of habitat. The core strength of lidar is that it is a vertical profiler, and this technology can be used to derive estimates of all but one of these structural attributes. Lidar can also be used to improve the measurement of the four commonly used attributes focusing on the horizontal heterogeneity of habitat patches. The spatial grain and extent of HS-SD studies is usually within the operational capability of airborne lidar; when a vertical measure of habitat structure has been employed, this is true in 84% of published studies. The potential efficacy of lidar in this field of biodiversity studies is underlined by several published examples of lidar modelling of animal species diversity. 4. We conclude that lidar remote sensing is fit for the purpose of biodiversity assessment and monitoring through its ability to characterize habitat structure, a key driver of animal species diversity, over large spatial scales. We advocate wider application of lidar-based HS-SD indicators to help tackle the current biodiversity crisis. In combination with other remote sensing products, these indicators may support the implementation and monitoring of environmental legislation, inform gap analyses and the planning of management actions for protected areas and species, and drive greater synergy with forest-based climate change mitigation.",7,2014,5,8,719,729,10.1111/2041-210X.12219
"Berger, D; Grieshop, K; Lind, MI; Goenaga, J; Maklakov, AA; Arnqvist, G",INTRALOCUS SEXUAL CONFLICT AND ENVIRONMENTAL STRESS,EVOLUTION,Article,Adaptation; condition dependence; genetic quality; sexual selection; sexually antagonistic; temperature,"Intralocus sexual conflict (IaSC) occurs when selection at a given locus favors different alleles in males and females, placing a fundamental constraint on adaptation. However, the relative impact of IaSC on adaptation may become reduced in stressful environments that expose conditionally deleterious mutations to selection. The genetic correlation for fitness between males and females (r(MF)) provides a quantification of IaSC across the genome. We compared IaSC at a benign (29 degrees C) and a stressful (36 degrees C) temperature by estimating r(MF)s in two natural populations of the seed beetle Callosobruchus maculatus using isofemale lines. In one population, we found substantial IaSC under benign conditions signified by a negative r(MF) (-0.51) and, as predicted, a significant reduction of IaSC under stress signified by a reversed and positive r(MF) (0.21). The other population displayed low IaSC at both temperatures (r(MF): 0.38; 0.40). In both populations, isofemale lines harboring alleles beneficial to males but detrimental to females at benign conditions tended to show overall low fitness under stress. These results offer support for low IaSC under stress and suggest that environmentally sensitive and conditionally deleterious alleles that are sexually selected in males mediate changes in IaSC. We discuss implications for adaptive evolution in sexually reproducing populations.",4,2014,68,8,2184,2196,10.1111/evo.12439
"Rountrey, AN; Coulson, PG; Meeuwig, JJ; Meekan, M",Water temperature and fish growth: otoliths predict growth patterns of a marine fish in a changing climate,GLOBAL CHANGE BIOLOGY,Article,Achoerodus gouldii; additive mixed models; Australia; climate change; fish growth; otolith; sclerochronology; sea surface temperature,"Ecological modeling shows that even small, gradual changes in body size in a fish population can have large effects on natural mortality, biomass, and catch. However, efforts to model the impact of climate change on fish growth have been hampered by a lack of long-term (multidecadal) data needed to understand the effects of temperature on growth rates in natural environments. We used a combination of dendrochronology techniques and additive mixed-effects modeling to examine the sensitivity of growth in a long-lived (up to 70 years), endemic marine fish, the western blue groper (Achoerodus gouldii), to changes in water temperature. A multi-decadal biochronology (1952-2003) of growth was constructed from the otoliths of 56 fish collected off the southwestern coast of Western Australia, and we tested for correlations between the mean index chronology and a range of potential environmental drivers. The chronology was significantly correlated with sea surface temperature in the region, but common variance among individuals was low. This suggests that this species has been relatively insensitive to past variations in climate. Growth increment and age data were also used in an additive mixed model to predict otolith growth and body size later this century. Although growth was relatively insensitive to changes in temperature, the model results suggested that a fish aged 20 in 2099 would have an otolith about 10% larger and a body size about 5% larger than a fish aged 20 in 1977. Our study shows that species or populations regarded as relatively insensitive to climate change could still undergo significant changes in growth rate and body size that are likely to have important effects on the productivity and yield of fisheries.",5,2014,20,8,2450,2458,10.1111/gcb.12617
"Bowman, DMJS; Williamson, GJ; Keenan, RJ; Prior, LD",A warmer world will reduce tree growth in evergreen broadleaf forests: evidence from Australian temperate and subtropical eucalypt forests,GLOBAL ECOLOGY AND BIOGEOGRAPHY,Article,Climatic gradients; macroecology; precipitation; temperature; tree growth; water availability,"Aims Understanding how tree growth is influenced by climate is vital for predicting how forests will respond to climate change, yet there have been few studies of tree growth spanning macroclimatic gradients. The aim of this study is to correlate growth of a single lineage of broadleaf evergreen trees with continental-scale variability in climate. Location Australia's temperate mesic eucalypt forests, spanning latitudes from 23 to 43 degrees S and longitudes from 115 to 153 degrees E. Methods We compiled and analysed a dataset containing around half a million measurements of growth in eucalypt tree diameter, collected from 2409 permanent forestry plots. These plots spanned a range of 558-2105 mm mean annual precipitation and 6-22 degrees C mean annual temperature. Generalized additive models were used to study the relationship between growth in tree diameter and several temperature and water availability variables. Results Tree growth increased with precipitation, but with a diminishing response above a mean annual precipitation of 1400 mm. There was a peaked response to temperature, with maximum growth occurring at a mean annual temperature of 11 degrees C and maximum temperature of the warmest month of 25-27 degrees C. Lower temperatures directly constrain growth. High temperatures primarily reduced growth by reducing water availability, but they also appeared to exert a direct negative effect. Our best model, which included maximum temperature of the warmest month and the ratio of precipitation to evaporation, explained 28% of the deviance. Main conclusions The productivity of Australia's temperate eucalypt forests could decline substantially as the climate warms, given that 87% of these forests currently experience a mean annual temperature above 11 degrees C, where the highest growth rates were observed. This will reduce carbon sequestration and slow recovery after catastrophic disturbances such as wildfire.",6,2014,23,8,925,934,10.1111/geb.12171
"Gaitan-Espitia, JD; Hancock, JR; Padilla-Gamino, JL; Rivest, EB; Blanchette, CA; Reed, DC; Hofmann, GE",Interactive effects of elevated temperature and pCO(2) on early-life-history stages of the giant kelp Macrocystis pyrifera,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Article,Macrocystis pyrifera; Climate change; Ocean acidification; Global warming; Synergistic effects; Non-calcifying algae,"Rising atmospheric CO2 is expected to increase global temperatures and partial pressure of CO2 in surface waters, causing ocean warming and acidification. These changes may have important consequences for the physiological performance of early life-history stages of marine organisms. In this study we investigated the potential for interactive effects of ecologically relevant levels of temperature and pCO(2) on germination, dormancy and mortality of zoospores of the giant kelp Macrocystis pyrifera, a foundation species of temperate reef ecosystems. Newly settled kelp spores were cultured in the laboratory for seven days in a factorial design with temperature (13 degrees C and 18 degrees C) and pCO(2) (similar to 370 and similar to 1800 mu atm) as experimental factors. The two levels of temperature and the low-pCO(2) treatment in our design were consistent with present-day environmental conditions in the kelp forest as measured by autonomous temperature and pH sensors, while the high-pCO(2) treatment reflects an extreme, future acidification scenario. Our results revealed that the combined effects of increased temperature and pCO(2) can significantly decrease germination rates and increase the mortality of kelp spores. Interactive effects of temperature and pCO(2) were detected,on spore mortality and dormancy. Spore mortality only differed between pCO(2) treatments at high temperature. In contrast, spore dormancy was higher in the treatment with low temperature and high pCO(2), which is similar to the environmental conditions experienced during upwelling events in southern California. Our results highlight the importance of considering multiple stressors to understand how the early-stages of foundation species such as M pyrifera will be affected by global change. (C) 2014 Elsevier B.V. All rights reserved.",5,2014,457,,51,58,10.1016/j.jembe.2014.03.018
"Orsenigo, S; Mondoni, A; Rossi, G; Abeli, T","Some like it hot and some like it cold, but not too much: plant responses to climate extremes",PLANT ECOLOGY,Article,Snowmelt; Drought; Extreme weather events; Frost events; Heat waves; Rainfall; Herbaceous plants,"Current climatic models predict increasing frequency and magnitude of extreme climatic events (ECEs). Ecological studies recognize the importance of these extremes as drivers of plant growth and mortality, as well as drivers of ecological and evolutionary processes. Here we review observational and experimental studies on ECEs on herbaceous plants and shrubs. Extreme events considered were heat waves, drought, advanced or delayed snowmelt, heavy rainfalls, frosts, pulsed watering and flooding. We analysed 39 studies dealing with direct response of plant to ECEs in different ecosystems, with a particular focus on cold ecosystems (alpine and arctic). Although the number of studies increases every year, the understanding of ecological consequences of ECEs is fragmentary. In general, ECEs affected negatively on physiological processes (efficiency of photosystem II, stomatal conductance and leaf water potential), productivity and reproduction, and had consequences on population demography and recruitment several years after ECE. Indeed, the plant responses to ECEs were species specific and depended on the plant life stage and the timing of ECE. In fact, the magnitude of the effect of ECEs decreased over the growing season. Drought had the most severe effect on plants, while heat waves had minor effect if water was available. The overlap of different ECEs had an additive effect (e.g. drought associated to heat-waves). In general, both neutral or positive plant responses were found and acclimation is possible. In some cases, ECEs exert a strong selective pressure on plant species.",5,2014,215,7,677,688,10.1007/s11258-014-0363-6
"Thebault, A; Mariotte, P; Lortie, CJ; MacDougall, AS",Land management trumps the effects of climate change and elevated CO2 on grassland functioning,JOURNAL OF ECOLOGY,Article,atmospheric CO2; climate change; ecosystem services; factor interaction; grasslands; land management practices; meta-analysis,"1. Grasslands cover similar to 30% of the Earth's terrestrial surface and provide many ecosystem services. Many grasslands are heavily managed to maximize these services for human benefit, but the outcome of management is anticipated to be increasingly influenced by various aspects of climate change and elevated atmospheric CO2. The relative importance of global change vs. land management on grasslands is largely unknown. 2. A meta-analysis is used here to examine drivers at both scales primarily targeting services provided by grasslands relating to plant productivity (above- and below-ground biomass) and soil processes (nutrients and soil respiration) in 38 manipulative experiments published in the last decade. We specifically target effects of (i) single and combined land management practices (LMs), (ii) single and combined factors relating to broad-scale climate change and elevated CO2, and (iii) combined management practices and changes to climate and CO2. Collectively, this examines the general efficacy of global change models in predicting changes to grassland functioning. 3. We found that combinations of management practices had approximately double the explanatory power for variation in grassland services compared with individual or interactive effects of factors associated with climate change and CO2. These interacting management practices such as nutrient additions and defoliation predominantly influenced functions associated with productivity or biomass both below and above ground. The effects of interacting factors of climate and CO2 influenced a wider range of ecosystem functions, but the magnitude of these effects was relatively smaller. 4. Interactions between management practices or between climate change/CO2 factors always had higher explanatory power than any factor in isolation indicating that multivariate synergistic models of environmental change can better describe impacts on ecosystem function in plant communities (e.g. relative to univariate climate-based models). Given that the magnitude and direction (positive or negative) of the interactions varied widely, this also implies that the outcomes of these multivariate interactions can vary spatially, temporally or by immediate context (e.g. management prescriptions). 5. Synthesis. Although our work confirms how climate change and CO2 can affect many ecosystem-based functional attributes, it suggests that combinations of LMs remain the dominant set of factors in determining the performance of grassland plant communities. Land management may thus be critical for influencing projected responses to future climate change and elevated CO2 in models of grassland function at least for factors relating to primary production.",5,2014,102,4,896,904,10.1111/1365-2745.12236
"Otto, SP",Selective maintenance of recombination between the sex chromosomes,JOURNAL OF EVOLUTIONARY BIOLOGY,Article,modifier; recombination; sex chromosomes; sex-determining region; sexually antagonistic selection,"A hallmark of many sex chromosomes is the dramatically reduced rate of recombination between them in the heterogametic sex (e.g. between the X and Y). Sexually antagonistic selection is thought to be the main selective driver of this reduced recombination, with tighter linkage strengthening the association between alleles favourable to females and the X, as well as alleles favourable to males and the Y. Nevertheless, many sex chromosomes retain substantial levels of recombination over millions of years, and some old sex chromosomes remain homomorphic with few signs of recombination suppression and the chromosomal degradation expected to follow. This paper explores the selective factors that can maintain recombination between the sex chromosomes. Specifically, by analysing the dynamics of genes that modify the rate of recombination, I present results demonstrating that certain forms of selection - all involving overdominance in males - can positively maintain recombination in the pseudo-autosomal region. To understand these cases, one has to revise our standard view of sexual antagonistic selection as involving two partners (males and females) to three partners (the X in females, the X in males and the Y).",4,2014,27,7,1431,1442,10.1111/jeb.12324
"Cabral, JS; Weigelt, P; Kissling, WD; Kreft, H","Biogeographic, climatic and spatial drivers differentially affect alpha-, beta- and gamma-diversities on oceanic archipelagos",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,alpha-diversity; archipelago; beta-diversity; gamma-diversity; spatial variables; species richness,"Island biogeographic studies traditionally treat single islands as units of analysis. This ignores the fact that most islands are spatially nested within archipelagos. Here, we took a fundamentally different approach and focused on entire archipelagos using species richness of vascular plants on 23 archipelagos worldwide and their 174 constituent islands. We assessed differential effects of biogeographic factors (area, isolation, age, elevation), current and past climate (temperature, precipitation, seasonality, climate change velocity) and intra-archipelagic spatial structure (archipelago area, number of islands, area range, connectivity, environmental volume, inter-island distance) on plant diversity. Species diversity of each archipelago (gamma) was additively partitioned into alpha, beta, nestedness and replacement beta-components to investigate the relative importance of environmental and spatial drivers. Multiple regressions revealed strong effects of biogeography and climate on alpha and gamma, whereas spatial factors, particularly number of islands, inter-island distance and area range, were key to explain beta. Structural equation models additionally suggested that gamma is predominantly determined by indirect abiotic effects via its components, particularly beta. This highlights that beta and the spatial arrangement of islands are essential to understand insular ecology and evolution. Our methodological framework can be applied more widely to other taxa and archipelago-like systems, allowing new insights into biodiversity origin and maintenance.",4,2014,281,1784,,,10.1098/rspb.2013.3246
"van der Heide, T; Tielens, E; van der Zee, EM; Weerman, EJ; Holthuijsen, S; Eriksson, BK; Piersma, T; van de Koppel, J; Olff, H",Predation and habitat modification synergistically interact to control bivalve recruitment on intertidal mudflats,BIOLOGICAL CONSERVATION,Article,Coastal ecosystem degradation; Ecosystem engineering; Invasive species; Marine Protected Area; Mesopredator release; Mytilus edulis,"Bivalves are key components of coastal ecosystems because they link pelagic and benthic food webs, and shape the landscape through habitat modification. Nevertheless, many bivalve stocks have dramatically declined, and recruitment failure due to (anthropogenically-) increased predation by mesopredators and loss of facilitation mechanisms have been separately hypothesized as underlying causes. Here, we tested the interactive effects of predation and habitat modification on bivalve recruitment in a large-scale experiment in the Wadden Sea, one of the world's largest intertidal soft-sediment ecosystems. We applied anti-erosion mats to simulate biotic attachment and substrate stabilization by commonly found tubeworm beds, crossed this with addition of adult mussels, and manipulated shrimp and crab predation using exclosures within these treatments. Epibenthic mussel recruits were only found in treatments with manipulated substrates, attached to either the anti-erosion mat or adult mussels. Three out of four endobenthic species were facilitated by the mat, but were inhibited by adult mussels. In contrast, invasive surf-dwelling American razor clams were inhibited by both substrate manipulations, indicating a preference for unstable sediments. These facilitation and inhibition effects, however, only clearly emerged when predators were excluded, demonstrating strong synergistic effects between predation and habitat modification. Our findings suggest that disturbance of trophic interactions and loss of habitat modifying species interactively affect bivalve recruitment dynamics in coastal ecosystems. We conclude that conservation and restoration of bivalves should focus on protecting and restoring internal facilitation mechanisms, and should simultaneously reduce excessive mesopredator predation by restoring natural food web dynamics, including the role of top-predators. (C) 2014 Elsevier Ltd. All rights reserved.",4,2014,172,,163,169,10.1016/j.biocon.2014.02.036
"O'Regan, SM; Palen, WJ; Anderson, SC",Climate warming mediates negative impacts of rapid pond drying for three amphibian species,ECOLOGY,Article,Spea intermontana; global warming; wetland drying; metamorphosis; phenotypic plasticity; Rana aurora; Pseudacris regilla; life history,"Anthropogenic climate change will present both opportunities and challenges for pool-breeding amphibians. Increased water temperature and accelerated drying may directly affect larval growth, development, and survival, yet the combined effects of these processes on larvae with future climate change remain poorly understood. Increased surface temperatures are projected to warm water and decrease water inputs, leading to earlier and faster wetland drying. So it is often assumed that larvae will experience negative synergistic impacts with combined warming and drying. However, an alternative hypothesis is that warming-induced increases in metabolic rate and aquatic resource availability might compensate for faster drying rates, generating antagonistic larval responses. We conducted a mesocosm experiment to test the individual and interactive effects of pool permanency (permanent vs. temporary) and water temperature (ambient vs. +similar to 3 degrees C) on three anurans with fast-to-slow larval development rates (Great Basin spadefoot [Spea intermontana], Pacific chorus frog [Pseudacris regilla], and northern red-legged frog [Rana aurora]). We found that although tadpoles in warmed pools reached metamorphosis 15-17 days earlier, they did so with little cost (<2 mm) to size, likely due to greater periphyton growth in warmed pools easing drying-induced resource competition. Warming and drying combined to act antagonistically on early growth (P = 0.06) and survival (P = 0.06), meaning the combined impact was less than the sum of the individual impacts. Warming and drying acted additively on time to and size at metamorphosis. These nonsynergistic impacts may result from cotolerance of larvae to warming and drying, as well as warming helping to offset negative impacts of drying. Our results indicate that combined pool warming and drying may not always be harmful for larval amphibians. However, they also demonstrate that antagonistic responses are difficult to predict, which poses a challenge to proactive conservation and management. Our study highlights the importance of considering the nature of multiple stressor interactions as amphibians are exposed to an increasing number of anthropogenic threats.",8,2014,95,4,845,855,10.1890/13-0916.1
